app_name,helm_truechart,storage_name,storage_enabled,storage_path,storage_subPath,storage_server,storage_type,storage_mountPath,nw_master_nic,nw_mac,nw_address_with_subnet,nw_gateway,nw_dns1,nw_dns2,run_as_user,run_as_group,privileged,extra_helm_values
zigbee2mqtt-building3-c2,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building3/c2,data,10.10.6.5,nfs,/data,eno3,00:14:51:29:f0:b4,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
zigbee2mqtt-building3-c3,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building3/c3,data,10.10.6.5,nfs,/data,eno3,00:14:51:c7:28:e1,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
zigbee2mqtt-building3-c4,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building3/c4,data,10.10.6.5,nfs,/data,eno3,00:14:51:09:46:c9,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
zigbee2mqtt-building3-c5,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building3/c5,data,10.10.6.5,nfs,/data,eno3,00:14:51:cb:20:e5,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
home-assistant-building4,home-assistant,config,true,/mnt/kube-volumes/home-assistant/building4,data,10.10.8.5,nfs,/config,eno4,00:14:51:b2:2d:c3,,,,,0,0,true,--set cnpg.main.enabled=false --set configmap.init.enabled=false --set persistence.init.enabled=false --set workload.main.podSpec.initContainers.init.enabled=false
mosquitto-building4,mosquitto,data,true,/mnt/kube-volumes/mqtt,data,10.10.8.5,nfs,/mosquitto/data,,,,,,,,,,
mosquitto-building4,mosquitto,mosquitto-config,false,,,,,,,,,,,,,,,
mosquitto-building4,mosquitto,configinc,false,,,,,,,,,,,,,,,
mosquitto-building4,mosquitto,config,true,/mnt/kube-volumes/mqtt,config,10.10.8.5,nfs,/mosquitto/config,eno4,00:14:51:e0:d8:1f,,,,,,,,
zigbee2mqtt-building4-c1,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building4/c1,data,10.10.8.5,nfs,/data,eno4,00:14:51:33:55:d0,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
zigbee2mqtt-building4-c2,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building4/c2,data,10.10.8.5,nfs,/data,eno4,00:14:51:72:57:86,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
zigbee2mqtt-building4-c3,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building4/c3,data,10.10.8.5,nfs,/data,eno4,00:14:51:c9:80:ee,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
zigbee2mqtt-building4-c4,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building4/c4,data,10.10.8.5,nfs,/data,eno4,00:14:51:4c:bd:b2,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
zigbee2mqtt-building4-c5,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building4/c5,data,10.10.8.5,nfs,/data,eno4,00:14:51:97:b9:93,,,,,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
